Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jul-21,EQ,987,988,975.15,983.5,985,985.5,983.35,"1,067.00",550.3,"28,61,509","2,81,38,69,270.90","58,045"
2-Jul-21,EQ,983.55,987.6,977.25,985.5,985.7,984.65,982.4,"1,067.00",550.3,"16,46,631","1,61,76,48,294.25","57,280"
5-Jul-21,EQ,991.7,995.9,978,984.65,979.5,979.75,983.59,"1,067.00",573,"25,98,033","2,55,53,89,039.10","99,632"
6-Jul-21,EQ,980,982.2,970.2,979.75,974,972.05,975.16,"1,067.00",573,"24,86,069","2,42,43,24,001.85","69,860"
7-Jul-21,EQ,970,977.6,960.3,972.05,975,975.35,968.88,"1,067.00",573,"30,14,899","2,92,10,75,434.50","1,14,845"
8-Jul-21,EQ,975,982,970,975.35,976.4,976.8,975.64,"1,067.00",573,"25,55,624","2,49,33,62,417.60","77,865"
9-Jul-21,EQ,972,979.5,966.6,976.8,977.95,976.85,974.31,"1,067.00",573,"32,18,471","3,13,57,83,152.05","82,149"
12-Jul-21,EQ,980,983.05,975,976.85,978.5,979.45,979.03,"1,067.00",583.35,"20,37,878","1,99,51,51,315.85","62,011"
13-Jul-21,EQ,983,983,964,979.45,970,967.95,968.91,"1,067.00",583.35,"29,97,764","2,90,45,63,104.70","1,00,217"
14-Jul-21,EQ,968.25,992.95,968.1,967.95,987.9,989.45,985.86,"1,067.00",583.35,"43,71,180","4,30,93,90,837.25","88,494"
15-Jul-21,EQ,993,"1,052.50",990.8,989.45,"1,039.05","1,039.75","1,030.77","1,067.00",583.35,"1,27,01,032","13,09,18,95,740.75","2,70,612"
16-Jul-21,EQ,"1,044.90","1,048.75",998.05,"1,039.75","1,006.00","1,005.00","1,011.30","1,067.00",583.35,"86,65,827","8,76,37,52,609.70","2,33,510"
19-Jul-21,EQ,"1,005.00","1,018.30",992.5,"1,005.00","1,001.90","1,000.20","1,001.97","1,067.00",626.85,"46,44,600","4,65,37,27,315.30","1,18,571"
20-Jul-21,EQ,999,"1,012.20",969.35,"1,000.20",977,977.2,978.64,"1,067.00",626.85,"1,02,16,774","9,99,85,58,947.00","2,69,005"
22-Jul-21,EQ,970,981.5,970,977.2,979,978.6,976.39,"1,067.00",626.85,"61,56,400","6,01,10,38,549.95","2,04,204"
23-Jul-21,EQ,984.7,"1,003.90",982.6,978.6,994,994,994.78,"1,067.00",626.85,"52,65,839","5,23,83,29,658.10","1,30,451"
26-Jul-21,EQ,994,"1,004.00",987.25,994,"1,000.70","1,000.30",999.34,"1,067.00",676.5,"24,77,027","2,47,53,85,447.10","70,649"
27-Jul-21,EQ,"1,000.00","1,002.20",983.85,"1,000.30",993.65,992,991.25,"1,067.00",676.5,"28,83,514","2,85,82,85,474.00","61,114"
28-Jul-21,EQ,995,995.95,977.3,992,984.85,983.1,985.31,"1,067.00",676.5,"29,52,249","2,90,88,79,896.70","98,430"
