Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Oct-19,EQ,920,927.85,902.5,935.85,915,915.15,913.21,"1,104.75",858,"1,08,447","9,90,34,620.85","10,979"
23-Oct-19,EQ,910.5,938,910.5,915.15,926.5,927.3,929.05,"1,104.75",858,"1,83,316","17,03,09,073.95","9,869"
24-Oct-19,EQ,921.55,942.85,898.5,927.3,927,927.4,927.26,"1,104.75",858,"3,40,867","31,60,73,916.90","10,783"
25-Oct-19,EQ,931.75,948.95,921,927.4,940.1,944.75,938.01,"1,104.75",858,"1,22,543","11,49,46,088.80","10,655"
27-Oct-19,EQ,944,944,927,944.75,938,937.15,935.77,"1,104.75",858,"3,979","37,23,434.25",362
29-Oct-19,EQ,944,955.9,921.9,937.15,943.05,948.8,939.65,"1,063.00",858,"1,00,150","9,41,06,257.35","9,888"
30-Oct-19,EQ,948,948,933.1,948.8,940,939.75,940.57,"1,063.00",858,"2,03,000","19,09,36,217.85","7,647"
31-Oct-19,EQ,935.15,957,935,939.75,949,950.25,945.7,"1,063.00",858,"2,99,095","28,28,54,428.50","16,683"
1-Nov-19,EQ,945.1,954.95,942.45,950.25,950.75,951.85,949.72,"1,063.00",858,"59,602","5,66,04,936.50","3,458"
4-Nov-19,EQ,951.2,954.75,935.45,951.85,937,938.95,942.89,"1,063.00",858,"74,942","7,06,61,991.45","6,477"
5-Nov-19,EQ,937.05,940.4,913,938.95,915,914.6,921.75,"1,063.00",858,"1,68,201","15,50,39,350.00","8,716"
6-Nov-19,EQ,915,920.45,908.1,914.6,915,915.15,913.49,"1,063.00",858,"63,133","5,76,71,261.10","3,881"
7-Nov-19,EQ,918.35,920,900.25,915.15,909.1,904.7,908.37,"1,063.00",858,"58,656","5,32,81,359.45","4,633"
8-Nov-19,EQ,904.7,914,875.1,904.7,876,879.55,890.95,"1,063.00",858,"1,00,609","8,96,38,000.25","7,710"
11-Nov-19,EQ,874.2,894,874.2,879.55,890.45,890.85,888.77,"1,063.00",858,"81,044","7,20,29,195.60","8,662"
13-Nov-19,EQ,897,899.45,882.1,890.85,891,891.35,890.9,"1,063.00",858,"1,43,355","12,77,15,357.85","6,146"
14-Nov-19,EQ,891.35,899,887,891.35,890.8,893.35,891.55,"1,063.00",858,"78,354","6,98,56,857.95","5,991"
15-Nov-19,EQ,898.6,914,885,893.35,907,907.1,895.74,"1,063.00",858,"1,29,296","11,58,15,978.30","10,783"
18-Nov-19,EQ,913,930.4,908.05,907.1,919.75,922.05,915.29,"1,063.00",858,"7,58,777","69,44,99,131.15","10,989"
19-Nov-19,EQ,925,925,908,922.05,913,914.25,914.2,"1,063.00",858,"1,07,320","9,81,12,329.10","10,438"
20-Nov-19,EQ,910.2,917.85,904,914.25,909.2,910.6,913.83,"1,063.00",858,"1,11,307","10,17,15,429.45","7,689"
21-Nov-19,EQ,906,910,881.7,910.6,887.5,890.15,892.43,"1,063.00",858,"1,14,983","10,26,14,344.60","12,046"
22-Nov-19,EQ,891,891,850.35,890.15,857.25,857.8,860.7,"1,063.00",850.35,"4,74,983","40,88,18,639.55","22,262"
25-Nov-19,EQ,863,881,860.05,857.8,876.5,878.6,872.34,"1,063.00",850.35,"1,54,970","13,51,86,599.35","8,017"
26-Nov-19,EQ,880,882.9,830,878.6,832,840.35,854.25,"1,063.00",830,"1,44,288","12,32,58,053.80","13,750"
27-Nov-19,EQ,837.6,845,827.75,840.35,836.5,833.8,834.33,"1,063.00",827.75,"10,69,634","89,24,28,501.30","10,314"
28-Nov-19,EQ,837.85,867.8,836.65,833.8,856.95,855.15,855.69,"1,063.00",827.75,"2,47,582","21,18,53,492.10","8,134"
29-Nov-19,EQ,855.95,887.55,846.5,855.15,881,878.35,866.63,"1,063.00",827.75,"1,31,681","11,41,18,684.70","7,653"
2-Dec-19,EQ,875.6,878.35,864,878.35,870,871,870.96,"1,063.00",827.75,"2,25,320","19,62,44,041.20","25,558"
3-Dec-19,EQ,866.6,868.6,840,871,847,847.9,846.59,"1,063.00",827.75,"1,70,725","14,45,34,703.50","28,790"
4-Dec-19,EQ,851.95,870,846.1,847.9,867.05,869.25,864.95,"1,063.00",827.75,"1,05,926","9,16,20,805.05","6,960"
5-Dec-19,EQ,869,869,852.55,869.25,855.1,854.3,857.41,"1,063.00",827.75,"1,04,463","8,95,67,306.95","10,907"
6-Dec-19,EQ,859.6,859.6,832.9,854.3,845,843.45,841.87,"1,063.00",827.75,"3,08,098","25,93,77,282.50","14,251"
9-Dec-19,EQ,845,882,845,843.45,870.95,877,864.24,"1,063.00",827.75,"78,382","6,77,41,140.15","6,296"
10-Dec-19,EQ,870,875.4,854.2,877,870,871.45,864.85,"1,063.00",827.75,"62,057","5,36,69,999.80","5,956"
11-Dec-19,EQ,871.4,871.4,852.65,871.45,857.9,856.3,857.6,"1,063.00",827.75,"1,32,421","11,35,64,642.90","8,981"
12-Dec-19,EQ,856,874.9,848.25,856.3,863.85,865.45,867.38,"1,063.00",827.75,"1,32,663","11,50,68,828.05","10,607"
13-Dec-19,EQ,868,877.35,854.35,865.45,867,865.6,867.17,"1,063.00",827.75,"1,01,712","8,82,01,742.35","6,205"
16-Dec-19,EQ,869,872.6,852.25,865.6,864,861.6,858.42,"1,063.00",827.75,"2,06,311","17,71,01,776.40","13,650"
17-Dec-19,EQ,866.95,874,857.25,861.6,869.85,870.1,867.39,"1,063.00",827.75,"1,07,549","9,32,87,311.60","5,847"
18-Dec-19,EQ,869,869,862.05,870.1,865,864.95,864.45,"1,063.00",827.75,"1,22,718","10,60,83,687.45","6,570"
19-Dec-19,EQ,868.95,868.95,857.5,864.95,862.65,864.85,863.83,"1,063.00",827.75,"40,777","3,52,24,570.55","2,743"
20-Dec-19,EQ,874.95,883,865.05,864.85,872,870.1,872.67,"1,063.00",827.75,"4,00,304","34,93,32,233.15","14,758"
23-Dec-19,EQ,872,882,858.15,870.1,880,880.05,869.86,"1,063.00",827.75,"1,20,484","10,48,04,293.90","6,048"
24-Dec-19,EQ,879.75,880,865.2,880.05,867.05,871.3,874.06,"1,063.00",827.75,"33,755","2,95,03,834.50","2,052"
26-Dec-19,EQ,871,897.45,866.1,871.3,886.9,888.45,881.33,"1,063.00",827.75,"87,514","7,71,28,760.70","4,684"
27-Dec-19,EQ,886,904,871.55,888.45,892,893.1,885.93,"1,063.00",827.75,"1,56,287","13,84,59,069.50","10,916"
30-Dec-19,EQ,891,912.8,884.4,893.1,904.15,908.15,901.62,"1,063.00",827.75,"90,869","8,19,28,985.70","5,314"
31-Dec-19,EQ,908.15,932.8,898.25,908.15,920.1,922.25,920.13,"1,063.00",827.75,"2,11,177","19,43,10,367.45","11,669"
1-Jan-20,EQ,927,929,913.55,922.25,922,923.8,925,"1,063.00",827.75,"1,31,875","12,19,83,724.15","16,551"
2-Jan-20,EQ,923.8,926.5,890.5,923.8,891,894.05,896.79,"1,063.00",827.75,"3,60,884","32,36,35,949.70","7,501"
3-Jan-20,EQ,894,900.8,878.45,894.05,885.5,883.7,886.3,"1,063.00",827.75,"2,35,166","20,84,28,000.55","23,846"
6-Jan-20,EQ,883,883,868.05,883.7,875,875.2,875.32,"1,063.00",827.75,"99,636","8,72,13,662.70","4,797"
7-Jan-20,EQ,878,898.6,877.05,875.2,887.8,885.8,885.22,"1,063.00",827.75,"7,81,520","69,18,17,227.30","7,042"
8-Jan-20,EQ,884.8,894.7,877,885.8,883,883.95,884.98,"1,063.00",827.75,"1,51,534","13,41,05,044.60","8,771"
9-Jan-20,EQ,889.6,889.7,878,883.95,881.9,883.3,882.58,"1,063.00",827.75,"3,88,633","34,29,99,073.40","9,504"
10-Jan-20,EQ,883.3,892,870,883.3,871.9,876.5,882.03,"1,063.00",827.75,"43,647","3,84,97,909.55","4,914"
